puma5,NAME,no_vehicle_share
4804617,"Houston City (South)--Between Loop I-610 & Beltway TX-8 PUMA, Texas",0.07901883293224118
4804618,"Houston City (Southeast)--West of Pasadena City & Outside Loop I-610 PUMA, Texas",0.10452018511511482
4804619,"Houston (Southeast) & South Houston Cities--Inside Beltway TX-8 PUMA, Texas",0.05676067591962357
4804620,"Houston (Southeast) & Webster Cities PUMA, Texas",0.037541955951997795
4804621,"Houston (Southeast), Pasadena (Southeast), La Porte (South) & Seabrook (East) Cities PUMA; Texas",0.04139543854573509
4804622,"Harris County (East)--Deer Park, La Porte (North) Cities & Channelview PUMA; Texas",0.04037615155408546
4804623,"Harris County (East)--Baytown City PUMA, Texas",0.06515704894083273
4804624,"Harris County (Northeast)--Houston City (Far Northeast) PUMA, Texas",0.0164591154656167
4804625,"Harris County (North)--Houston (North), Humble Cities & Atascocita PUMA; Texas",0.028796429414415382
4804626,"Harris County (North)--Houston City (North)--I-45, Between Beltway TX-8 & FM-1960 PUMA; Texas",0.09302426343154246
4804627,"Harris County (Far North)--Spring PUMA, Texas",0.016292242092534843
4804628,"Harris County (Northwest)--Jersey Village City--Between Beltway TX-8 & FM-1960 PUMA, Texas",0.029503702991247476
4804629,"Harris County (North)--North of FM-1960, West of I-45 & East of TX-249 PUMA; Texas",0.03866495290671949
4804630,"Harris County (Far North)--Tomball City & The Woodlands (Southwest) PUMA, Texas",0.015078220550920939
4804631,"Harris County (Northwest)--North of US-290 & North of FM-1960 PUMA, Texas",0.023018448923812777
4804632,"Harris County (Far Northwest)--Katy City (Northeast) PUMA, Texas",0.027222117380637855
4804633,"Harris County (Northwest)--South of US-290 & West of TX-6 PUMA, Texas",0.0060900643316654755
4804634,"Harris County (West)--Houston City (West)--North of US-90 & West of TX-6 PUMA, Texas",0.02984662915149509
4804635,"Houston City (West)--South of I-10 & West of TX-6 PUMA, Texas",0.034481087499091324
4804636,"Houston City (West)--East of TX-6 & West of Beltway TX-8 PUMA, Texas",0.050898676228491535
4804637,"Houston City (West)--Westpark Tollway, West of Beltway TX-8 PUMA; Texas",0.08756789492609625
4804638,"Houston City (Southwest)--East of TX-6 & West of Beltway TX-8 PUMA, Texas",0.09448422465876034
4804701,"Galveston County (Central, South & East)--Galveston, Texas City & La Marque Cities PUMA; Texas",0.07297870192792974
4804702,"Galveston County (Northwest)--League City & Friendswood City PUMA, Texas",0.027763561924257933
4804801,"Houston-Galveston Area Council--Brazoria County (North)--Pearland City PUMA, Texas",0.017038777908343124
4804802,"Houston-Galveston Area Council--Brazoria County (Central)--Alvin City PUMA, Texas",0.028227617674176694
4804803,"Houston-Galveston Area Council--Brazoria County (Southwest)--Lake Jackson City PUMA, Texas",0.03582794102047311
4804901,"Fort Bend County (East)--Missouri City PUMA, Texas",0.021265929658848052
4804902,"Fort Bend County (Northeast)--Sugar Land & Stafford Cities PUMA, Texas",0.030737351061992747
4804903,"Fort Bend County (Central)--Rosenberg City, Pecan Grove & New Territory PUMA; Texas",0.04723902690178916
4804904,"Fort Bend County (North)--Mission Bend (Southwest), Cinco Ranch & Four Corners PUMA; Texas",0.02816184098839951
4804905,"Fort Bend County (West & South) PUMA, Texas",0.022529034745313477
4805000,"Houston-Galveston Area Council (West) PUMA, Texas",0.05088225759142906
4805100,"Capital Area COG (East)--Bastrop, Caldwell, Fayette & Lee Counties PUMA; Texas",0.0364734099743611
4805201,"Capital Area COG--Williamson County (North)--Georgetown (East) & Taylor Cities PUMA, Texas",0.026176616738837227
4805202,"Capital Area COG--Williamson County (Southeast)--Round Rock City PUMA, Texas",0.022651677824091616
4805203,"Williamson County (South)--Austin City (Far North), Brushy Creek & Jollyville PUMA; Texas",0.028649049147937762
4805204,"Capital Area COG--Williamson County (West)--Cedar Park & Leander Cities PUMA, Texas",0.016960219389170923
4805301,"Travis County (Northeast)--Pflugerville, Manor Cities & Wells Branch PUMA; Texas",0.03169037271170815
4805302,"Austin City (North) PUMA, Texas",0.060017463859512954
4805303,"Austin City (Northeast) PUMA, Texas",0.07709321762034207
4805304,"Austin City (Southeast) PUMA, Texas",0.08743901984880646
4805305,"Austin City (Northwest) PUMA, Texas",0.02366366858571165
4805306,"Austin City (Central) PUMA, Texas",0.08513843588656009
4805307,"Austin City (South) PUMA, Texas",0.059247513334294365
4805308,"Austin City (Southwest), Lost Creek & Barton Creek PUMA; Texas",0.028388002808706993
4805309,"Travis County (West, South & Outside Austin City) PUMA; Texas",0.01579097514725378
4805400,"Capital Area COG (Southwest)--Hays County PUMA, Texas",0.030602752952535707
4805500,"Golden Crescent Regional Planning Commission (North) & Wilson & Karnes Counties PUMA, Texas",0.05009352349777882
4805600,"Golden Crescent Regional Planning Commission (Southeast)--Victoria & Calhoun Counties PUMA, Texas",0.055114733004503536
4805700,"Alamo Area COG (Northeast)--Guadalupe County PUMA, Texas",0.025719125926179434
4805800,"Alamo Area COG (Northeast)--Comal County PUMA, Texas",0.02549659057219093
4805901,"San Antonio City (Central) PUMA, Texas",0.1814155663085377
4805902,"San Antonio City (Northeast)--Inside Loop I-410 PUMA, Texas",0.08874770633151155
4805903,"San Antonio City (Southeast)--Inside Loop I-410 PUMA, Texas",0.13788407320686194
4805904,"San Antonio City (Northwest)--Inside Loop I-410 PUMA, Texas",0.11460617517328292
4805905,"San Antonio City (West)--Inside Loop I-410 PUMA, Texas",0.10743254428074822
4805906,"San Antonio City (Southwest)--Inside Loop I-410 PUMA, Texas",0.07860955604738966
4805907,"Bexar County (South)--San Antonio City (Far South) PUMA, Texas",0.03523693803159174
4805908,"San Antonio City (West)--Between Loop TX-1604 & Loop I-410 PUMA, Texas",0.02735884626260722
4805909,"San Antonio (Northwest) & Leon Valley Cities PUMA, Texas",0.04369488316476509
4805910,"San Antonio City (Northwest)--Between Loop TX-1604 & Loop I-410 PUMA, Texas",0.06732742266444694
4805911,"San Antonio City (North), Hollywood Park Town & Shavano Park City PUMA; Texas",0.043706293706293704
4805912,"San Antonio City (Northeast)--Between Loop TX-1604 & Loop I-410 PUMA, Texas",0.05299235433693646
